Geneid,A01,A02,A03,A04,A05,A06,A07,A10,A11,A12,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A35,A36,A37,A38,A39,A41,A42,A43,A44,A45,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A59,A60,A61,A62,A63
GPR37,61.39275118,63.72013673,51.75901755,254.3083167,35.32219931,43.11054995,97.44584927,59.02407127,92.43845653,72.26986938,50.03105035,153.9616802,169.3913961,107.1434211,45.08336678,39.64939421,52.12755125,27.44683106,43.64801514,52.76796515,64.27829165,58.67617461,130.0008944,98.78004788,40.27438059,55.35022045,187.577746,62.65040811,38.97628889,54.34105765,62.07600856,44.41544467,57.09156309,41.8806964,37.91708313,146.9361371,31.74775508,65.91817512,82.4081516,67.5018807,76.92991282,26.08152241,88.25208799,32.63318226,61.56636971,25.92175781,50.3723687,58.05216933,84.2868553,75.7913389,94.12305361,57.21890426,60.39314216,40.91126846,78.38815073
ATP6V1FNB,127.6969225,100.7936708,73.07155419,184.2693049,128.8221387,113.5244482,94.52830887,79.11737213,96.13599479,101.6820255,124.680554,91.27728182,133.4598879,100.1989401,120.6284679,111.9512307,110.4607634,71.11224411,148.4032515,82.59333676,120.8711354,134.2781688,140.1572142,120.8377285,101.4604588,83.02533067,144.7300375,151.4051529,111.1546017,125.8901169,99.47119443,121.7595811,119.4415596,113.676176,100.7511066,70.93468689,118.0365253,98.1281925,112.6244738,91.80255775,108.9007857,66.6527795,135.1709196,114.9255549,116.6520689,152.5395748,121.7958766,109.8284285,122.2159402,115.8159785,2.35307634,100.6762999,92.02764519,119.7033411,120.2545494
UBE2H,1739.256641,1838.615582,1715.659199,2997.502946,1635.21005,1731.60709,1916.240533,1655.185658,1637.085065,1735.317212,1696.29085,1945.415802,2736.954316,1657.746821,1774.091406,1736.410235,1862.939391,1712.931775,1859.405445,1667.926551,1687.305156,1818.961413,1915.481928,1639.940601,1697.720043,1744.789904,2208.085243,1998.100516,1782.804325,1755.216162,1813.666515,1704.634135,1684.201111,1661.932397,1709.518777,1921.14777,1547.499549,1691.400448,1858.303818,1746.948672,1766.390725,1793.829153,1762.80753,1733.105745,1595.86511,2018.906137,1706.645925,1658.40927,1918.579544,1861.571537,1668.331125,1775.958902,1823.29772,1712.969963,1793.128948
LOC100128325,31.92423061,18.53676705,10.65626832,14.17456191,39.47775217,22.27378414,23.34032318,7.534987822,22.18522957,16.80694637,27.79502797,16.49589431,28.74520662,21.82551171,28.02479557,23.32317306,23.58151128,8.73308261,29.46241022,25.2368529,32.83782291,22.56775947,43.67217545,17.26253264,23.23521957,20.12735289,39.03902327,43.25861513,12.9920963,41.66147753,21.68920781,27.56820703,26.29216721,23.93182652,10.83345232,21.11151396,13.83876503,41.19885945,10.98775355,33.30092781,28.97360353,8.693840804,33.51345114,26.24842921,17.82184386,40.87661808,27.06575035,18.82773059,41.08984196,23.84446617,49.41460314,34.04162659,5.751727825,15.90993774,19.59703768
PODXL,700.491291,604.7620249,648.5100434,1371.597315,758.3883969,666.7765059,573.5884421,581.4498936,596.2280446,636.9832673,603.5491788,533.3672492,948.5918183,648.8129389,731.0816235,672.8735429,706.2042062,598.8399504,704.9154445,617.1557664,704.2664999,613.8430575,766.8021503,678.0339209,621.9293772,640.3014138,830.293373,826.3887166,603.4106947,672.0177463,690.3151313,663.9343194,692.6108049,637.5172675,676.007425,695.8355,639.0253265,644.9494179,579.6039996,646.2180045,673.3865096,692.6093174,627.8186513,698.0663335,576.7796742,527.4080723,767.6147529,583.6596484,799.6715396,717.8887493,880.0505512,598.9877699,608.2452175,678.8240101,604.8358448
LOC101928782,106.8233871,105.4278626,159.8440248,381.8793739,97.65549221,114.2429574,91.0272604,131.8622869,165.4648372,116.8082773,110.3859682,113.2718076,280.2657645,190.4771931,98.69601917,128.2774519,106.7373668,108.539741,110.2112382,125.0371348,90.12934373,94.78458975,192.9700776,126.591906,113.0780686,128.3118747,217.0950562,193.1720917,158.7922881,109.5877996,76.28617919,111.0386117,120.9439692,110.3523112,139.751535,146.0916766,82.2185452,110.1133153,93.39590514,138.6038617,106.9026061,95.63224884,176.504176,88.6771257,87.4890517,93.71712437,103.752043,123.9492264,163.3057821,129.4413878,103.535359,107.9191992,123.6621482,93.94439425,148.7593315
FAM180A,117.8740823,106.5864105,146.1431084,364.369621,124.6665858,113.5244482,119.0356482,104.2339982,124.7919163,100.0013309,111.1801119,106.6734498,159.1252509,143.8499635,102.3514273,142.2713557,121.6309529,140.976905,129.852845,120.4486161,108.2949479,103.8116935,201.0951335,107.4113142,113.8525759,122.0220769,200.9081441,137.2342273,131.3645292,134.0412755,97.975387,126.3542822,109.6758975,111.6818571,127.8347374,110.6243331,124.5488853,133.3344906,86.52855918,105.3029339,86.92081059,153.5911875,142.9907248,127.695061,61.56636971,99.69906848,100.7447374,134.9320693,172.7880534,120.925507,183.5399545,118.7835481,103.5311008,77.27684043,128.2715194
PTN,274.4255978,377.6866286,293.8085408,988.8841429,237.9054012,316.8625421,369.3606143,249.9104294,431.687592,229.4148179,214.4187872,475.081756,1220.644667,378.9702487,203.4843852,152.7667836,235.8151128,291.9344758,159.3152553,250.0742696,184.45075,309.1783047,510.8628895,395.1201915,192.8523224,333.3592822,723.6501875,512.3908378,222.3092033,281.6678155,222.1274041,210.5904704,144.9825221,186.1364285,297.9199389,368.1848034,200.2550705,260.6764198,358.4754594,279.0077735,251.7706238,269.5090649,266.9904941,168.1318303,196.0402825,164.503463,253.3654963,293.3988018,386.6659487,282.7272417,432.9660466,228.1513271,319.2208943,213.6477353,247.6352943
CREB3L2,1833.18755,1691.479993,1834.400475,2798.225281,1811.821047,1621.675187,1862.55779,1726.768042,1629.689989,1854.646532,1905.150632,1909.124834,2259.578563,1694.453363,1767.999059,1840.198355,1913.82581,1677.999444,1857.223044,1789.522296,1775.338468,1896.820183,2000.795015,1647.612837,1771.298239,1757.369499,2272.832891,1979.454561,1764.037964,1928.201862,1863.776064,1783.509838,1742.043879,1768.960843,1678.101765,1673.720826,1764.849564,1917.61964,1906.37524,1837.851205,1841.322459,1680.809222,1671.204097,1779.21785,1947.441484,1831.471888,1796.865092,1633.305629,2201.994095,1905.002529,1498.909629,1768.716003,1564.469968,1806.156741,1808.272113
DENND2A,1151.728012,1069.339749,1185.890431,2162.871388,1301.726933,1107.941134,1168.766683,1141.550655,1159.178245,1068.081442,1091.947528,1194.302748,1593.305738,1117.069372,1136.831925,1164.992495,1346.628407,1176.470986,1143.577997,1123.039954,1152.817187,1119.360869,1514.307293,1062.604787,1131.555193,1191.287699,1416.830893,1476.75962,1234.249148,1153.841791,1071.746027,1258.182338,1129.811985,1219.193606,1336.848017,1057.264619,1234.092223,1137.837591,1204.532482,1058.429489,1244.865862,1121.505464,1242.231922,1190.401735,1281.552591,1205.361738,1259.309218,1071.611666,1265.356415,1153.901845,992.9982156,1097.29924,1150.345565,1044.752578,1277.370547
MGAM,594.2818314,907.1430374,793.1308277,827.1273775,745.9217384,678.9911617,649.4444924,827.5928291,672.027579,800.8509944,677.4045389,597.1513738,524.6000207,618.0588088,600.7054006,700.8613506,619.3249541,751.0451044,721.2834502,895.9082779,630.9054061,678.1611719,717.0361829,657.8942995,724.9388506,764.8394098,586.5375204,566.0911876,674.1454412,634.8846902,690.3151313,712.9444653,726.4150198,602.9490736,851.5093527,380.8517118,700.8927467,640.4549969,656.5182744,746.120788,639.4174572,823.0169294,608.8276956,636.347054,742.0367718,723.8152372,710.4759466,718.5917177,829.171939,692.341107,437.6721993,706.1826792,668.6383596,782.6174134,680.5516722
TRPV6,138.7476177,112.3791502,141.5761362,323.5135307,126.7443622,121.428049,125.4542371,119.3039738,111.8505324,113.446888,115.9449738,89.07782925,233.0414965,136.9054825,151.0902022,109.6189134,115.425292,114.7776572,139.6736484,111.2715787,115.2817187,116.2239612,218.3608772,70.96818974,113.8525759,132.0857533,198.0516303,166.3219168,114.0417342,143.0981185,107.6981353,98.02029168,102.1638497,113.676176,167.918511,151.1584399,97.68540024,115.3568065,111.2510047,106.202959,133.8780301,133.305559,211.1347422,112.0878869,111.7915661,103.6870312,142.8470157,98.84558562,125.3766973,109.854862,108.2415117,76.7747323,123.6621482,107.5814837,124.7084216
LOC154761,130.1526325,107.7449585,138.5314881,240.1337548,144.4054619,77.59898991,99.77988159,124.3272991,155.296607,84.87507916,100.0621007,138.5655122,176.5776978,120.0403144,91.38520294,107.2865961,121.6309529,132.2438224,100.3904348,96.35889289,124.3645208,98.16975367,178.7512297,87.27169279,100.6859515,133.3437129,183.7690608,176.0178133,118.3724329,99.62527236,93.48796469,122.5253646,92.39818763,138.2727754,164.6684753,80.22375303,98.49944524,107.1170346,131.8530426,107.102984,96.91170835,130.4076121,111.7115038,102.8654658,126.3730747,105.6810126,92.47464702,117.6733162,127.4838686,128.5897997,197.6584126,80.39618194,70.45866585,115.1576446,97.09441397
OR2F1,0,0,3.044648091,17.50975295,2.07777643,2.874036663,3.501048477,1.255831304,10.16823022,3.361389273,7.147292907,4.398905148,5.13307261,1.984137428,2.436938745,4.664634613,3.723396518,0,7.63840265,1.147129677,4.192062499,3.38516392,7.10942391,1.918059182,2.323521957,5.031838222,12.37822689,7.458381918,1.443566255,3.622737177,0.747903718,1.531567057,5.258433443,1.329545918,4.33338093,0.844460558,0.814045002,5.992561374,0,2.700075228,4.995448884,0,3.351345114,4.256502033,0,0.996990685,1.503652797,3.137955099,6.321514147,5.109528465,0,2.897159709,0,2.272848248,1.78154888
NOBOX,77.35486649,84.57399966,70.0269061,238.4661592,70.64439862,73.28793492,76.43955841,79.11737213,74.87514979,79.83299525,70.67878542,94.57646068,156.0454073,82.34170326,87.72979482,92.1265336,80.67359122,89.82599256,97.11683369,84.88759612,75.45712499,83.50071002,104.6100947,66.17304179,90.61735633,74.21961378,139.0170097,111.1298906,62.07334898,87.85137653,65.06762343,62.79424936,78.12529686,91.73866831,91.00099952,79.37929247,78.14832019,71.16166632,70.04692886,87.30243237,70.93537416,28.97946935,86.01785792,65.26636451,71.28737546,76.76828273,71.42350786,78.44887748,80.07251253,85.15880775,70.59229021,63.01322368,132.28974,86.36823343,86.40512069
PDIA4,431.5910408,297.7468207,400.371224,537.799555,430.099721,405.9576787,455.136302,362.9352467,336.4759818,415.9719226,421.6902815,503.6746394,606.7291825,375.9940426,392.3471379,427.9802257,439.3607891,432.9113808,403.74414,284.48816,422.6996353,433.3009817,435.7061225,409.5056354,396.5477474,408.8368556,405.6249735,498.9657503,396.9807202,421.1431968,450.238038,353.7919903,428.1867232,368.9489921,378.0874861,407.0299891,384.2292409,414.235805,346.1142367,393.3109582,514.5312351,272.4070119,399.9271836,435.5820414,364.5377154,423.721041,444.3294015,412.6410955,437.2380619,446.2321526,468.2621917,429.5039269,332.1622819,406.8398364,348.2928061
RARRES2,59.55096865,46.34191762,51.75901755,101.7233267,43.63330503,40.95502245,40.84556556,35.1632765,43.44607457,35.29458737,47.64861938,47.28823034,61.59687132,40.67481727,51.17571365,48.97866343,38.47509735,31.18958075,40.374414,36.70814967,44.01665624,48.52068285,81.25055897,52.74662751,41.82339523,36.48082711,65.69981965,70.85462823,40.41985515,57.96379483,38.14308959,49.01014584,49.57951532,73.78979842,66.08405918,25.33381675,43.1443851,54.68212254,34.33672983,48.6013541,39.96359107,46.36715095,52.50440678,51.78744141,34.0235201,54.83448766,56.38697989,29.81057344,57.94721302,41.7278158,0,52.14887477,30.19657108,56.8212062,39.19407536
ZNF775,389.2300425,254.8805469,316.6434015,505.2814423,315.8220174,356.3805463,324.4304922,297.632019,291.1811381,329.4161488,334.3344793,310.1228129,352.128781,267.8585528,307.0542819,295.0381393,297.8717214,217.079482,269.5264935,261.5455664,277.374802,317.0770205,326.0178679,349.0867712,305.930391,242.7861942,342.7816677,315.4895551,264.1726247,323.329293,309.6321391,319.3317315,335.0373308,329.0626146,263.2528915,227.1598902,292.2421557,290.6392267,285.6815922,294.3081998,335.694165,246.3254894,360.8281572,322.0753205,278.6688313,381.8474323,365.3876297,238.4845875,338.2010069,332.9709383,232.9545577,336.0705263,277.5208675,260.6199324,314.4433774
KCNH2,422.9960556,305.8566563,418.6391125,968.8729967,424.9052799,367.8766929,329.6820649,320.2369824,361.434365,368.9124728,345.4524905,342.0148753,384.9804457,380.9543861,414.2795867,415.1524805,374.8219161,402.9693833,366.6433272,364.7872374,381.4776874,341.9015559,593.1290805,358.6770671,362.4694253,305.684172,489.4160478,510.1533232,334.9073712,398.5010894,385.1704145,363.7471762,404.8993751,355.6535329,341.2537482,312.4504065,384.2292409,390.2655595,284.308123,339.3094536,362.669589,405.7125709,404.3956437,350.4520008,371.0183859,430.6999758,438.3147903,351.4509711,402.469734,332.9709383,145.8907331,338.2433961,431.3795868,373.5047288,353.6374527
AGAP3,1141.905172,782.0198598,840.3228731,1499.168372,1096.027067,1172.606959,1273.798137,853.9652865,992.7890231,995.8115723,1179.30333,1171.208496,1212.43175,1029.767325,1212.377026,1116.013831,1120.742352,964.3818368,1120.662789,751.3699386,1153.515864,1144.185405,1298.993312,976.2921237,1107.545466,1094.424813,1154.031615,1353.696318,854.5912231,1123.048525,1123.351384,1048.357651,1108.027047,1135.432214,924.0934832,1038.686487,1155.129858,1116.863626,911.9835443,1030.528712,1222.885887,956.3224884,1271.276913,1029.364075,1002.883759,1116.629567,1273.593919,862.9376522,1091.514776,1067.891449,889.4628566,1124.822257,1074.135171,1090.967159,977.1795608
