data$Geneid,A01,A04,A05,A14,A15,A16,A19,A20,A25,A26,A30,A31,A33,A36,A38,A41,A43,A50,A51,A57
GRIK3,1163.3926348764064,827.9611752975404,1054.471538211561,906.912055568381,953.4626908297289,668.3260538152919,1320.0915954193817,1162.9408456851884,1122.7460334059738,912.0375244819967,870.2845675424702,1031.4942193198967,818.7386019103891,1049.8892179092554,999.81853000461,739.7474490058942,979.7837846940653,1003.1693040063044,1043.5524152101314,939.3016494962109
LINC01137,278.72309036089104,334.3529016055526,253.48872445676935,250.15525175485115,268.33321402820513,346.9957084325171,250.72411043742673,259.39662406425225,252.75890601300313,340.23671570319476,277.08184809065517,272.2309400229662,264.4598138914088,275.6820703481634,244.63644883091524,326.8062360334259,257.680139093852,292.6841399216612,279.51030019904266,215.45178361064492
RSPO1,115.41837221992846,129.23865274030086,110.12215078859653,105.62110629649271,109.97262870008407,109.84775385289743,104.95427878776003,95.56717728682978,109.45363340741653,121.87583846084588,121.87792630791705,96.21312674784285,129.51285406325846,110.27282813926536,115.670494827661,99.64634587065699,113.85866611123694,137.4051496578791,100.02779778696704,109.00327392159112
BMP8B,391.685752533587,473.59712746123154,462.305255669108,348.6290651440624,313.4219917952396,426.04502662572366,445.47260552138147,431.9139960495683,345.28671982133466,416.40911474122345,407.52931609209764,440.79037137965213,459.18193713337087,397.4416514186022,387.56263496854234,398.58538348262795,340.8269281619264,360.8281572316663,442.67621148274776,406.2075129734294
CITED4,11.05069521254634,25.013932788445327,10.388882149867596,7.147292907281462,2.1994525740016817,12.319374263876346,16.32622114476267,8.687925207893615,2.256775946544671,16.250111794779453,14.28256948920903,11.187572877656146,1.811368588297321,2.297350586234695,3.323864793898305,19.42259283919585,1.4981403435689071,3.3513451136068073,14.897757117207858,11.070645007661597
FOXO6,157.1654430228813,406.893306692044,177.6498847627359,172.32917343111967,196.85100537315049,238.17456910160936,152.7667835688507,141.4890676714103,144.43366057885893,301.6427001905936,231.37762572518628,205.10550275702934,204.68465047759727,145.4988704615307,156.886418272,222.93758737163935,149.06496418510625,173.15283086968506,160.3282432613798,168.61443934746126
EDN2,89.63341672398698,192.60728247102904,97.6554922087554,100.85624435830506,120.96989157009249,142.69941855656768,65.30488457905068,86.87925207893616,108.32524543414421,150.31353410170993,115.21272721295283,129.03000718896755,83.32295506167677,77.34413640323473,93.06821422915253,123.29124150098237,85.3939995834277,71.4953624236119,81.58295564185255,81.75245544119333
CCDC30,607.1743091782406,736.2434217399075,642.0329168618175,576.5482945207045,640.0406990344893,598.5162663199925,654.2150044437042,592.0200463093221,616.0998334066952,636.8012559579198,735.0762430446247,611.5873173118694,613.1482671386432,645.5555147319492,636.1877215521355,546.3659811721616,758.059013845867,678.088827986444,659.7578151906337,596.1116542587014
ZNF691,38.06350573210406,24.180135028830485,25.97220537466899,34.1481772236781,50.58740920203867,21.558904961783607,34.98475959592001,27.304907796237078,51.90584677052743,29.453327628037755,28.56513897841806,26.10433671453101,28.981897412757135,39.05495996598981,21.27273468094915,37.15626456193989,29.21373669959369,32.396336098199136,25.539012200927754,34.91511117800965
PTPRF,1596.8254582129464,1628.4070245277908,1626.8989446692656,1488.2252120272733,1746.365343757335,1670.3018272772347,1524.1693597289152,1661.8759790527931,1647.4464409776097,1725.558746208143,1424.4482637237804,1758.686456367546,1304.185383574071,1522.3776551448577,1311.597047672271,1863.7244520045758,1412.7463439854794,1859.996538051778,1579.8716714296143,1312.2972274466556
