data$Geneid,C36,D01,D04,D05,D15,D16,D19,D20,D25,D31,D38,D41,D51,D57
AGBL1,923.9042624698418,951.0789689955602,1336.7659700527317,697.9017543856985,946.6062956357887,1402.483914355918,716.2623823525332,787.9477557782337,1040.4125520469715,847.9487766534678,1489.3887230946746,1504.5878030676054,958.4585301059232,1121.8950969814844
NTRK3,1294.3839702735754,1134.0896190901603,1322.4434775164525,833.2599238306116,1017.4695602252834,1251.594786754193,1089.3157064944776,912.1789347914442,977.4984671527537,972.8736216498415,1148.5478422326241,992.9716511358238,953.5559289289107,1185.0536357745161
LINC00928,83.9316860157131,88.62326756549538,82.3543320836058,88.16908284943878,101.53542388942537,99.4298297491136,80.82822023075461,90.8728068707744,81.55529523324525,82.142363833232,75.42417251569185,97.81931928269277,97.23492334407915,110.5274428878055
SV2B,1115.3734211931874,1036.0996647087995,1205.4764551368385,1045.6108135102459,1023.8155242183726,1174.8419357197895,1003.5134419418304,1015.704917302453,1006.6253583074841,1043.0368907573938,989.1068699526172,933.1540817902923,1042.6198503113026,1131.867497843542
LINC01197,134.4218408845405,126.81052919940802,138.45076118403293,121.69817069359155,142.78418984450443,183.16021269573557,161.65644046150922,111.57800337297616,133.98369931176003,147.17173520120733,174.71675405533682,159.7480969580666,115.21112765979127,138.7825786636355
LINC02254,194.09202391133653,217.59533987625696,192.1601081950802,122.9399887618935,145.957171841049,292.1841488241496,164.14346262245553,174.8438815741482,203.88823808311312,190.80986598761183,205.26831760599683,288.5318050784463,166.6884400184214,275.90309051692805
LINC02351,300.97378032197116,277.39803262370503,353.288149228222,228.49452456755964,182.97529513406866,283.46223393387646,226.3190166461129,232.35831630248643,274.9578525006554,293.48782077915183,251.09566293198682,251.93752736117995,264.7404635586693,262.6065560341845
RHBDF1,302.9409292129644,327.1135241848366,279.28860445744573,260.78179434341047,274.9917730338604,292.1841488241496,330.7739474058573,326.6819892569611,299.424441070629,343.971148551659,253.9598720148612,281.494443978972,306.41257356327463,299.1720258617292
LUC7L,736.3694015284829,707.5451117830606,673.1571492051256,751.2999313226825,740.3624658603934,681.1815529303308,749.8371815253082,827.0575713935037,759.62932131537,711.9004865546773,740.8754161035048,693.1800682982185,696.16936713576,663.9956907320045
ARHGDIG,68.1944948877669,54.03857778383865,47.741641787597565,69.54181182490946,57.11367593780177,65.41436167704842,54.7144875408185,92.02309556534117,69.90453877135307,67.59632023776383,51.55576349173874,48.55779158637267,55.562813339473806,44.044770474087905
PGAP6,301.6294966189689,296.13140625543576,236.32112684860795,288.10179184605346,266.53048770974164,283.46223393387646,267.3548823017268,322.08083447869404,299.424441070629,250.70533961601018,228.18199026899183,237.1590690522839,290.0705696399,268.4237898703848
RAB11FIP3,2868.1030830681957,2706.9724897850906,1934.7300334423912,2835.0706499333623,2619.825468480278,2565.9873607183526,2922.2510391118976,3263.369026485911,2811.3275342545826,2726.9553493386497,2222.6262483105143,2199.8790796956664,2618.8061287207875,2334.372835126659
LOC100287175,64.26019710578034,72.05143704511819,44.16101865352775,57.12363114188991,40.19110528956421,53.203680830666045,49.74044321892592,58.66472342290499,67.57438747897463,56.472875135347,48.69155440886436,54.18768046595211,63.73381530116113,58.1723383620029
FBXL16,143.60186904250912,146.98493157204112,163.51512312252166,126.66544296679936,131.14992252384113,132.57310633215147,140.5167520934657,136.88435465344497,123.49801849605709,132.62569160573918,110.74941787114247,176.63776359680494,155.24903727205916,104.71020905160522
METRN,67.53877859076913,69.16937956331347,40.58039551945793,57.12363114188991,54.99835460677208,58.436829764829916,68.39310942602313,67.8670329794391,82.72037087943447,62.46242249818683,66.83154526706873,62.63251378532127,64.55091549732985,67.31370581888906
LMF1,1495.0331571548895,1657.1830520377184,1476.4102722814546,1326.2616969464875,1552.6458569757965,1412.9502122242457,1433.7682757855396,1539.0862733303309,1648.5820393577433,1589.7970000223443,1738.5749133047452,1871.9380524601638,1429.108243099113,1463.4498265069585
C1QTNF8,135.733273478536,120.32589986534738,132.48305596058324,99.34544546415637,122.68863719972234,141.29502122242457,136.78621885204626,132.28319987517793,129.32339672700317,128.347443489425,147.98413594850933,140.04348587953857,117.66242824829746,86.42747413783287
UNKL,1087.1776204222836,1090.8587568630894,821.1562387466781,969.8599113438265,901.1268870186502,959.4106379300434,1035.8447300341322,1054.8147329177232,1121.9678472802168,973.7292712731044,773.3364523760811,964.1184706279791,1043.4369505074712,946.5470484903043
CRAMP1,1224.2223264948152,1245.0488321396424,1013.3163469417583,1226.916251482331,1177.1763207180254,1284.7380633372309,1173.8744599666516,1371.1441239235833,1310.71010196287,1197.0538229447038,1158.0952058422054,1161.868317523207,1306.5432136738032,1185.0536357745161
NUBP2,131.79897569654946,159.9541902401624,95.48328357519513,110.52180807887396,119.51565520317779,115.12927655160522,130.5686634496805,148.38724159911263,186.41210339027484,118.93529763353384,132.70835417317934,160.45183306801405,129.1018309946597,115.51364331883433
ZNF598,219.00924319725135,252.18002965791368,176.644074614111,172.6127114939717,260.1845237166525,214.5591063007188,254.9197714969953,280.67044147429056,286.6086089625476,254.98358773232434,231.0461993518662,305.42147171718466,233.69065610425747,214.40661853423924
NTHL1,217.69781060325585,200.30299498542857,186.19240297163049,207.38361740642642,191.43658045818742,225.02540416904654,267.3548823017268,259.9652449720888,235.345280530222,240.43754413685616,198.58516307928994,182.26765247638437,208.36055002302678,221.054885775611
TRAF7,482.6071945903503,538.2242347270329,372.38480594326097,392.41450958341767,485.46624547131506,450.0508083380931,506.1090097525712,564.7917490322814,547.5855537089324,464.6177454317185,428.67662607019804,483.4667075338844,480.45491534721464,458.73043965465143
E4F1,255.07363953212808,291.0878056622775,243.48237311674757,238.4290691139753,248.5502563959892,286.9509998899857,249.94572717510272,342.7860309808958,306.41489494776425,279.7974268069465,255.86934473677744,289.23554118839377,300.6928721900935,247.64795474109803
RNPS1,173.76481870440603,243.5338572124995,186.19240297163049,185.03089217699124,224.2240610891477,185.7767871628175,169.11750694434812,209.35254241115115,241.17065876116808,214.76805543897117,187.12832674779244,244.19643015175822,240.22745767360732,226.87211961181129
