Geneid	A01	A04	A05	A14	A15	A16	A19	A20	A25	A26	A30	A31	A33	A36	A38	A41	A43	A50	A51	A57
LOC102724020	70.60166386	66.70382077	97.65549221	115.1508302	71.48220866	53.38395514	118.9481826	90.6026486	76.73038218	66.01607917	90.45627343	71.60046642	120.4560111	95.72294109	104.3693545	71.77914745	81.64864872	108.3601587	93.64304474	95.37786468
CLEC9A	415.014998	256.80971	458.1497028	447.1028785	306.8236341	291.5585242	531.7683459	430.6728639	453.6119653	310.7833881	282.7948759	337.1188627	451.9364628	547.5352231	503.8979028	313.2948671	432.9625593	364.1795023	507.942576	468.3734426
LOC645177	295.2991332	323.5135307	395.8164099	347.0407778	260.63513	245.3608708	373.170769	357.4460657	303.5363648	344.2992437	333.2599547	311.014526	300.6871857	330.0527009	349.6705763	251.6492464	357.3064719	336.2516264	377.409847	361.9249329
FAR2	1540.958055	1012.23048	1839.871029	1637.524219	1319.671544	1324.332733	2006.959042	1546.450687	1503.01278	1298.993312	1254.009601	1400.684124	1891.97449	1768.194168	1630.023295	1322.425234	1474.919168	1418.736098	1650.813372	1653.784047
BICD1	1836.871115	3515.291355	2014.404249	1838.442564	1739.766986	3156.839655	2281.006326	2138.470733	1944.212478	3488.695876	2553.723425	2671.592403	2149.18883	2079.868064	2135.250744	3307.752007	2078.669727	1856.645193	2050.924563	2219.23853
CPNE8	1354.324091	611.1737578	1193.682559	1269.835707	1696.877661	1001.975773	1251.288235	1349.110672	1367.606224	1218.758385	1152.127272	1031.494219	1323.204754	1393.726022	1318.90955	1125.665924	1482.40987	1194.195975	1394.713833	1336.141694
LINC02471	43.58885334	38.35469694	45.71108146	50.03105035	86.87837667	47.22426801	39.64939421	47.16302256	59.80456258	56.87539128	54.27376406	43.25861513	61.586532	59.73111524	39.88637753	41.37856735	47.94049099	59.20709701	48.24035638	72.38498659
LRRK2	693.1241608	782.1022985	731.3773034	736.1711694	878.6813033	586.1968921	643.7195766	723.5800566	784.2296414	759.6927264	687.4676781	595.1788771	707.3394337	664.700103	589.6536144	538.7658361	761.8043647	656.8636423	691.6815804	791.9769121
COL2A1	335.818349	494.4420715	474.7719142	315.2750316	335.4165175	316.1972728	369.6722931	383.5098413	308.0499167	392.033947	489.4160478	408.7193291	355.9339276	398.9732185	397.5342294	386.7629357	373.0369455	376.4677678	361.8026728	329.564586
ZNF641	111.7348071	80.04458492	130.8999151	108.7976809	112.1720813	71.86301654	117.782024	115.425292	153.4607644	113.7507826	137.1126671	112.621567	140.3810656	110.2728281	118.9943596	90.35727973	113.8586661	88.25208799	114.9255549	119.2223309
FAIM2	419.3124906	622.0131287	473.733026	333.5403357	337.6159701	451.7103897	452.4695574	426.9494674	296.766037	509.8472576	565.5897518	507.9158086	405.7465638	365.2787432	386.897862	583.5222457	304.1224897	355.242582	380.247515	372.995578
KRT7	84.72199663	278.4884517	77.91661612	115.1508302	70.38248237	134.4865024	89.7942163	96.80830946	94.78458975	141.1728462	190.4342599	107.4006996	131.3242227	84.23618816	88.41480352	172.2699539	79.40143821	112.8286188	90.09595971	109.854862
KRT8	589.9843388	803.7810403	484.1219082	451.8677405	580.6554795	777.1471931	452.4695574	516.3109838	481.8216646	610.3948243	724.6023588	581.0079514	464.6160429	477.0831384	503.8979028	737.2140673	428.4681383	519.4584926	437.0008754	487.9599684
CSAD	238.8178021	411.8960932	221.2831898	224.7426548	271.6323929	370.6078424	229.7332547	235.8151128	226.8059826	260.0017887	310.4078436	296.0977622	216.4585463	228.9692751	212.7273468	287.9610504	220.9757007	269.2247241	185.8672555	202.6779624
PCBP2	408.8757229	372.7075985	324.1331231	349.4232088	394.801737	511.254032	375.5030863	358.6871979	361.0841514	441.7999144	445.6161681	418.4152256	396.6897208	355.3235573	365.6251273	464.453307	329.5908756	377.5848828	371.7345109	408.7622772
HOXC13-AS	14.73426028	62.53483197	3.116664645	12.7062985	10.99726287	13.34598879	8.163110572	3.723396518	11.28387973	16.25011179	25.70862508	8.950058302	14.49094871	9.955185874	9.971594382	21.95597451	12.73419292	17.87384061	9.931838078	7.664292698
